Treatment Step,P(Y>=x),P(Y=x)
5,0.006416151,0.006416151
4,0.062181436,0.055765285
3,0.131290084,0.069108648
2,0.234333748,0.103043664
1,0.396301408,0.16196766
0,1,0.603698592
,SUM,1
